Age,Parental Support,Extra Paid Class,Attendance Rate,Behavioural Rating,Study Time,CGPA,Drop Out
18,NO,NO,100,100,4,4.5,FALSE
18,NO,NO,100,50,3,3.75,FALSE
18,YES,NO,90,75,3,3.25,FALSE
17,YES,NO,94,100,3,3.75,FALSE
17,NO,NO,100,75,3,3.25,FALSE
18,YES,YES,100,50,3,2.25,TRUE
18,NO,NO,100,75,4,4,FALSE
17,YES,NO,100,75,2,2.25,TRUE
18,YES,NO,100,75,2,2.5,FALSE
18,YES,NO,100,50,3,0,TRUE
18,YES,NO,95,50,2,2.5,FALSE
17,NO,NO,87,100,4,3,FALSE
17,NO,NO,94,75,2,2.25,TRUE
18,NO,NO,100,100,4,4.25,FALSE
18,NO,NO,94,75,4,3,FALSE
19,YES,NO,94,100,3,2.25,TRUE
18,NO,NO,98,25,3,3.5,FALSE
18,NO,NO,98,75,3,4,FALSE
17,YES,NO,84,50,3,2.25,TRUE
18,NO,NO,94,50,3,4.75,FALSE
18,NO,NO,100,75,2,0,TRUE
17,NO,NO,94,100,3,4,FALSE
19,NO,NO,100,75,2,0,TRUE
18,NO,YES,100,25,2,0,TRUE
18,NO,NO,100,75,4,3.75,FALSE
17,NO,NO,100,100,3,2.75,FALSE
18,YES,NO,94,75,2,2.5,FALSE
19,NO,NO,94,75,4,2.5,FALSE
18,YES,NO,94,100,3,4,FALSE
18,NO,NO,90,100,3,2.25,TRUE
17,NO,NO,90,25,2,2.5,FALSE
18,NO,NO,94,25,2,2.75,FALSE
